mhc_case_id,functionality,text,label,target_ident,ref_case_id,ref_templ_id,templ_id,case_templ,label_annotated,label_annotated_maj,disagreement_in_case,disagreement_in_template
dutch-1,derog_neg_emote_h,Ik haat vrouwen.,1,women,,,1,Ik haat [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-2,derog_neg_emote_h,Ik haat transgenders.,1,trans people,,,1,Ik haat [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-3,derog_neg_emote_h,Ik haat homoseksuelen.,1,gay people,,,1,Ik haat [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-4,derog_neg_emote_h,Ik haat zwarte personen.,1,black people,,,1,Ik haat [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-5,derog_neg_emote_h,Ik haat gehandicapten.,1,disabled people,,,1,Ik haat [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-6,derog_neg_emote_h,Ik haat immigranten.,1,immigrants,,,1,Ik haat [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-7,derog_neg_emote_h,Ik haat Moslims.,1,Muslims,,,1,Ik haat [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-8,derog_neg_emote_h,Ik kan vrouwen zoals jij echt niet uitstaan.,1,women,,,2,Ik kan [IDENT_P] zoals jij echt niet uitstaan.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-9,derog_neg_emote_h,Ik kan transgenders zoals jij echt niet uitstaan.,1,trans people,,,2,Ik kan [IDENT_P] zoals jij echt niet uitstaan.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-10,derog_neg_emote_h,Ik kan homoseksuelen zoals jij echt niet uitstaan.,1,gay people,,,2,Ik kan [IDENT_P] zoals jij echt niet uitstaan.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-11,derog_neg_emote_h,Ik kan zwarte personen zoals jij echt niet uitstaan.,1,black people,,,2,Ik kan [IDENT_P] zoals jij echt niet uitstaan.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-12,derog_neg_emote_h,Ik kan gehandicapten zoals jij echt niet uitstaan.,1,disabled people,,,2,Ik kan [IDENT_P] zoals jij echt niet uitstaan.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-13,derog_neg_emote_h,Ik kan immigranten zoals jij echt niet uitstaan.,1,immigrants,,,2,Ik kan [IDENT_P] zoals jij echt niet uitstaan.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-14,derog_neg_emote_h,Ik kan Moslims zoals jij echt niet uitstaan.,1,Muslims,,,2,Ik kan [IDENT_P] zoals jij echt niet uitstaan.,"['hateful', 'hateful', 'hateful']",hateful,False,False
dutch-15,derog_neg_emote_h,Ik veracht vrouwen.,1,women,,,3,Ik veracht [IDENT_P].,"['hateful', 'hateful', 'hateful']",hateful,False,False
