text,label
RT @user: Descobrimos que o Rui Cruz chora com filmes românticos...  #ccallstars http,0
RT @user: O maior ato feminista de 2017 até o momento foi o de Marine Le Pen se recusando a se curvar as imposições machistas islâmi _,0
ELE NUNCA VAI VOLTAR DESSE JEITO... VEM METEORO! http,0
Hj eu vi a @user perguntando p @user no TT como funciona a promoção e a Dona Morangorespondendo como funciona #odiadehoje,0
Por um mundo com mais: #MeuAmigoSecreto #NãoÀCulturaDoEstupro #FeminicídioNão #NenhumaAMenos Celebremos o #DiaInternacionaldaMulher.,0
@user as diferenças no mundo islâmico não tornam a Europa o melhor lugar para os refugiados viverem. http,0
RT @user: Vagabunda demais http,1
RT @user: DESCONSTRUINDO O GÊNERO CACHORRO http,0
"RT @user: Mulher que apanha de homem e ainda assim continua com ele é burra!! Att: Não perguntei nada, é burra e acabou",1
"RT @user: @user não. A lei da imigração abre as fronteiras do Brasil para refugiados, e libera a ONU para emitir vistos, tirando _",0
