HITId,tweet,sentiment,directness,annotator_sentiment,target,group
1,rt @user personnage ainsi q tte la clique gauchiste deguise 1 macronistes !!ont ttes ls qualites requises qui ont etaient inculq,abusive,direct,shock,origin,other
2,@user @user @user bah oui t'as raison l'autre c'est un mongol.,offensive,indirect,shock,other,individual
3,moi j'ai personne à qui m'adresser pour réclamer. le voisin c'est un attardé puant et bruyant dans les administrat… @url,hateful,direct,anger_confusion_sadness_fear_disgust,other,women
4,@user @user c...est vrai que les anchois sont aller sur la lune et invente de million de technologie !,normal,indirect,indifference,other,other
5,eh les renois faut se réveiller la @url,normal,direct,sadness,origin,african_descent
6,@user @user en algerie les migrants sont expulsés dans le désert je crois bien qu'ils ont une autre vision… @url,offensive,indirect,indifference,other,immigrants
7,@user sjw et féministe twitter un sale combo,normal,indirect,sadness_indifference,other,women
8,@user @user tu sais aussi pourquoi est au dessus ? parce que si veut demain bah ya plus d'ani... @url,normal,indirect,indifference,other,other
9,@user @user mytho t'as juste voulu te faire ken par les renois de ton lycée ils ont pas voulu de to… @url,offensive,indirect,indifference_disgust,other,individual
10,c’est un giga attardé mdrrr ils va vraiment se faire shoote @url,offensive,direct,indifference,origin,individual
11,#duisburg 4 réfugiés arabes lardent de coups de couteau une ado allemande enceinte de 5 mois qui cru qu’elle p… @url,hateful,direct,sadness,origin,arabs
12,@user dekoi tu parle jte dis ta ps honte de dire half black lieu de half pakpak attardé,normal,direct,indifference,origin,indian/hindu
13,nous aussi nous luttons contre le colonialisme en l'occurrence la colonisation de peuplement africaine et arabo-mu… @url,fearful_abusive_offensive_hateful_normal,direct,confusion_indifference,origin,indian/hindu
14,@user @user @user alors pas du tous toi tu es vraiment attardé,abusive_offensive,indirect,indifference,other,individual
15,@user sale arabe ( arrête avec tes hontes toi ),offensive_hateful,indirect,anger_indifference,origin,arabs
16,le « sale juif » mis en avant contrairement aux autres mdr #lejouroujaibrulemoncoeur,hateful,direct,shock,origin,other
17,@user ohhh la violence je meuuurs,normal,indirect,indifference,other,other
18,au vu de cette simple declaration difficile de savoir si affaire un neo-nazi un gauchiste ou un islamiste. @url,disrespectful,direct,anger_confusion_fear_indifference_disgust,origin,individual
19,@user ce qui est une offense au terrorisme c'est de voir nos dirigeants qui ne font rien quant à la montée… @url,abusive,direct,shock,origin,other
20,glik tu es un gros mongol,offensive,direct,indifference,origin,indian/hindu
21,@user quel mongol ils n'ont qu'à pas donner des salaires monstrueux au moindre joueur de merde qui vient,offensive,indirect,indifference_disgust,other,special_needs
22,@user @user @user arrete de t'enerver t'es pas crédible dirait un gros con de gamin attardé je voi… @url,abusive_offensive,direct,shock,other,individual
23,irl une gauchiste bobo anti-raciste : « quand je lis @user ou @user de part leurs provocations i… @url,abusive,direct,anger_confusion_sadness_indifference_fear,origin,left_wing_people
24,@user t’a vu gl dirait un attardé...,abusive_offensive,indirect,sadness_disgust,disability,special_needs
25,forum islam: au nom de la lutte contre le séparatisme et le terrorisme l'etat chinois entreprend la désislamisati… @url,abusive_offensive,direct,fear,origin,indian/hindu
26,@user @user @user donne toujours le sale boulot à l arabe de service et ces énergumènes se sentent intégrés,offensive_disrespectful,indirect,shock,origin,arabs
27,@user les renois c'est les premiers à tailler les rebeus mais quand nous les tacle pour rigoler ils sorten… @url,offensive,indirect,anger_indifference,origin,african_descent
28,@user tu te crois intelligent avec ta réflexion facebook d'attardé ?,offensive,direct,anger_sadness_indifference_disgust,disability,individual
29,rt @user c'est con un gauchiste quand meme !!! @url,fearful,direct,anger_sadness_indifference_disgust,origin,asians
30,shoutout les daronnes rebeus avec leurs fils adorés @url,abusive,direct,sadness,origin,indian/hindu
31,@user @user l'empire mongol,normal,indirect,sadness,other,other
