text_id,text,task_1,task_2,split
hasoc_2020_hi_2250,"1 आदमीं को मारने पर गोडसे आतंकी हो सके है तो
17000 सिखो, 5000 भोपाली, 3000 तमिलों का कत्लेआम करवाने वाला भारत रत्न कैसे हो सके है?",HOF,HATE,train
hasoc_2020_hi_381,"RT @Vishesh4: @jawaharyadavbjp जवाहर यादव, अगर हिम्मत है तो पूरा वीडियो डालो फिर तुम्हारे झूठ सामने आएंगे।
दीपेंदर ने साफ कहा, कि भाजपा और…",NOT,NONE,train
hasoc_2020_hi_1510,"RT @FunKeyBaat: #भगवा वस्त्र पहन कर मतदान नही कर सकते लेकिन बुरखा पहन के कर सकते हैं @yadavakhilesh ?

ये आज़मगढ़ है और यहाँ से ""टोटी चोर""…",HOF,HATE,train
hasoc_2020_hi_1010,Yey nina khothani labafazi benu phambili Finish and klaar 🍑🌊,HOF,PRFN,train
hasoc_2020_hi_331,RT @Rajeshbhanjan2: जब भी कोई सिकुलर कोंग्रेसी गुलाम चाटुकार चरणचाट चमचा 'गाय' और 'बछड़े' को लेकर भाजपा पर तंज कसता हुआ दिखे तो इतिहास के झ…,HOF,HATE,train
hasoc_2020_hi_1719,RT @AkalLess: काश ऐसा क़ानून अगर हमारे यहाँ होता तो पूरी @AamAadmiParty सर @ArvindKejriwal के साथ तिहाड़ जेल में निर्विरोध चुनाव लड़ रही हो…,HOF,OFFN,train
hasoc_2020_hi_3047,"RT @Aaliya11_: मुस्लिम_ईसाईयों की जबरन
  नसबंदी कर देनी चाहिए
      साध्वी ठाकुर
 
मैडम जब अपनी जमीन 
  बंजर हो तो दूसरों 
की खड़ी फसल देखक…",HOF,HATE,train
hasoc_2020_hi_3530,"RT @neel23456: @TVMohandasPai मौन सिह- अरे ओ पचौरी तूने
कांग्रेस का नमक खाया है
पचौरी- बराबर बोले सरदार
मौन सिंह- नमक का हक अदा करने
का समय…",HOF,OFFN,train
hasoc_2020_hi_62,"@ECISVEEP 
उंगली में दाग अच्छे हैं। https://t.co/lRj1CYiHsY",NOT,NONE,train
hasoc_2020_hi_2628,"RT @BJP4India: आज जब मैं सिरमौर आया हूं तब 300 से ज्यादा लोकसभा क्षेत्रों का दौरा करके यहां आया हूं।

मैं हर प्रदेश में गया, वहां पहनावा बद…",NOT,NONE,train
hasoc_2020_hi_647,"RT @ppbajpai: ममता तैयार हो रही है दिल्ली के लिए..!
पूर्वांचल में योगी का जादू गुम हो चला है..!
केजरीवाल ने एतिहासिक भूल तो नहीं कर दी..!…",NOT,NONE,train
hasoc_2020_hi_2565,"भारत के लिये बड़ी खबर
मसूद अजहर को ग्लोबल आतंकवादी घोषित किया गया",NOT,NONE,train
hasoc_2020_hi_1874,RT @ParwezK92714513: पति का कितना खयाल है इसे रोज स्वर्ग मे जाती है https://t.co/XDyqcT1A9U,NOT,NONE,train
hasoc_2020_hi_39,"RT @AshrafFem: मौसम की वजह से 'विशेषज्ञ' हवाई हमले की तारीख़ बदलना चाहते थे। मैने उन्हें बताया कि बादल हैं, बारिश है, तो फ़ायदा है। बादलो…",NOT,NONE,train
hasoc_2020_hi_1335,"@ihirarafique chanda ♥️ tumhein tou pata hai, sometimes I don't know kese kahoon ya sunnay wala samjhega? Ya main samjha bhi paunga?",NOT,NONE,train
hasoc_2020_hi_2951,"RT @ChaturvediS2: कैसे चलाया जा सकता है,,, 
यह तो,, पेट से सीख कर आये हैं,,,अभिमन्यु ??????
👉परनाना जैसे अय्याशी के साथ,,
👉दादी जैसे इमरजें…",NOT,NONE,train
hasoc_2020_hi_3735,"RT @ZeeRepublic: तैमूर अली खान के बिगड़े बोल

कहा-बाकी लोग तो बस मोदी को हारते हैं विरोध करते हैं लेकिन छाती पर चढ़कर मूंग तो सिर्फ केजरीवा…",HOF,OFFN,train
hasoc_2020_hi_315,"RT @s_ambalika: @Yogesh_Bajaj1 @KChugh9 @PoojaYa10361065 Sir,. वो माँ जो कभी घर से बाहर भी नहीं जाती, जो किसी से फालतू मतलब नहीं रखती,, जो…",NOT,NONE,train
hasoc_2020_hi_2793,RT @neeta_pankaj: @ShilpiSinghINC आंटी राहुल गांधी को परधान मंती बनाने के लिए महागठबंधन में से कितने दल राजी हुए ..!,NOT,NONE,train
