text,label
@user YO CREO KE LA MUJER ES UNA ALTA ZORRA....!!!!,1
@user I KNOW Y ESTA MAÑANA HE ESTADO CON ÉL Y HA SIDO EN PLAN MARTA CÁLLATE LA PUTA BOCA Y NO VAYAS A PONER CARAS RARAS.,0
"Sonya porque tuviste que morir ptmr te odio pendeja, tenías que quedarte callada zorra sin alma http",1
EE.UU : Sistema de inmigración disfuncional  Indocumentado confiesa que secuestró y mató a la estudiante Mollie Tibbetts http vía @user,0
"La inmigracion de personas de cultura similar o dispuestos a adaptarse y respetar nuestra cultura es beneficiosa. Cientos de miles de indocumentados violentos, ignorantes y fanatizados por la religión que vienen a vivir de ayudas es una invasión.  #DeNada http",1
"@user Ahora defiendes a la. Iglesia hijo. De perra? Eres una mierda, no mereces llamarte humano, en que mala hora habras nacido",0
@user @user cállate era una historia de amor hijo de puta,0
"@user ¿¡Un debate!? No es sólo dar voz. Se ha de enseñar qué es un maltrato y por qué no se ha de cuestionar lo que es un maltrato. Las señales en la piel se ven, las que dejan en la mente no.",0
Edgar tapia Buen compa Nos conocemos desde prepa Llevamos tocando en la misma banda como 2/3 años  Se acaba de enterar que no soy gabacha http,0
"Obviamente he llegado a tu perfil a causa del tweet del imbecil ese que te llama guarra Seguro que ya lo sabes pero aún así t l... — muchas gracias, hace falta mas gente que piensa asiii ❤️❤️❤️ http",0
@user Jajajajajajajajajajajajajjajajajajajaja cállate puta reventada. En 4 años me recibo ahre yaki,1
"""Que verga que critiquen """"ÁRABE"""" xq el finde la bailan todos..""",0
@user @user Sin lugar a dudas a ti por analizar de forma tan exquisita realidades que no todos logran ver.,0
"@user @user Equipo chico que represento a la Selección Colombia, ha tenido en sus filas a jugadores históricos de nuestro país, 1 vez semifinalista de libertadores y sudaca. siglo XXI: tengo 3 titulos, tu 2, que concidencia que al morir tu narco, no volviste a ganar despues de 24 años.",0
"Sería la puta hostia! Pero no sé quién le puede enseñar algo, eso sí, desfibriladores a mano, eskerrik askoooo!!! http",0
¡¡#ZP2: más igualdad de género y genera!!  Menos #VALLE y más #VALLA.  #EleccionesYA #elvallenosetoca #Ceuta http,0
"@user Que te calles y a la cárcel, eso es lo que tienes que hacer de una puta vez",0
"@ te sigo amando pero no lo mereces, perra.",1
@user Que te calles so guarra.,1
"@user Pues tienes toda la razón del mundo. Y lo peor es que seguro que tenía papeles y DNI español, pero queda mejor decir ""argelino"" o ""uno d'estos del top manta"", ""puto inmigrante"", o ""moro mierda"" y ya pues matas dos pájaros de un tiro.",0
"Vergüenza de tanto indocumentado a favor de la jauría de lo políticamente correcto. La sentencia contra Juana Rivas es machista. Si es un hombre quien lo hace y la condena el doble no sería hembrista sino justa. Dan mucho asco estos políticos, juezas y tertuliano/as",1
Feliz año a todo el mundo!! Menos a esos hijos de puta que hacen las bromas de 'no como desde el año pasado'. Mereceis plomo en pecho❤❤❤,0
La gabacha no querrá ver algo británico ni a 638294 kilómetros.,0
"@user @user Vean y compren, baratas e igual de tiles que las que tienen sin concertinas y con ellas. Gracias.",0
Padres indocumentados realizaron una huelga de hambre para pedir ser liberados http http,0
"Ya me joderia demostrar que soy racista, etnocentrista, machito y frivolizar con el acoso y la violacion en 4 lineas. Que miedo da perder privilegios eh http",0
Nunca se en que sección estoy si en; “prientos en aprietos” o “güeros por pendejos” ¿no hay algo para los “apiñonados”?,1
"Han pasado del macro recibimiento excepcional del aquarios,a la expulsión vía excepcional d los inmigrantes q saltaron la valla d ceuta. Vaya política d migración de @user a base de bandazos improvisados. Donde no había problemas, los ha creado.  http",0
"80,000 menores han entrado en España solos desde Marruecos, luego llegará la reunificación familiar, Padres, Hermanos, Primos, Abuelos etc. ¿Para que los envía Marruecos? ¿Alguien pide explicaciones a las autoridades Marroquís? ¿SON INMIGRANTES O ENVIADOS PARA INVADIR ESPAÑA? http",1
Ascazo de negratas http,1
"Cada año qué pasa, el Arenal se va pareciendo más a un campo de refugiados.",1
@user Güera de mi ❤️ Hoy es el cumple de @user  Le puedes regalar una felicitación 😍 la harías muy feliz😍,0
Trump urge al Congreso aprobar recursos para construir el muro “más rápido”. Pues que contraten mexicanos indocumentados para levantarlo... y al final que los deporten.,1
