text,label
@user @user انت اكيد فهمان الكرامة غلط و مفكرها نوع من انواع الكبسة او من بول البعير اي اي تحكمنا مي… @user,1
أول مسلمتين في #الكونغرس_الأميركي - امريكا تتقدم و العربان يتبعون مسار بول البعير @user,1
@user @user بول البعير أفضل من بول المعمم النجس اللي تشربونه,1
منذ مطلع أيلول/سبتمبر الحالي، بدأت تصل إلى هواتف اللاجئين السوريين في لبنان رسائل نصية من مفوضية شؤون اللاجئين، تبل… http,0
@user @user @user والله فرحان بنفسچ.انتوا بالشنو ناجحين يا اعراب .ناجحين بشرب بول البعير والسك… http,0
@user @user @user @user @user بربري خنزير مات من القهر  عقدوه ال سعود لم ارى كلب مثلك… http,1
@user @user @user @user كرم الكلب عن هالسفله وانا اخوك هذولا حضيرة خنازير هم وعزمي معهم,1
@user هههههههههههههههه لانها جميله لانها متبرجه لانها نصابه,0
@user @user رجال لا يمكون غير الكلمه مجرد كلمه امام المال المسروق   ونفوز السلطه واوسخ واعر بشر مث… http,0
عدي قدام عيني كدا حد كاتب طيب ما يمكن كتر الكلام في التحرش والتوجه العام دا مش مؤامرة لتمكين المرأة-بكره الكلمة بس… http,0
@user وبعد قراءة ما تقيئ به خنازير الدب الداشر أدعو الله ان يجعلك سببا لزيادة غيضهم إلى ان يموتوا كمدا.,1
يا بايره يالى عنيكى كذابييين .,0
يقول  صرت اجلس مع مرتي وحريم الجيران  قهوة الضحى,0
وين الفخر بالموضوع للاسف وحده متبرجه مع رجال تقدم اخبار حسبي الله ونعم الوكيل بس,0
نادي وسخ وفرقه وسخه,0
@user لا عليك غدا تأتي فتوه من الخنزير الجولاني بقتالهم بحجة أنهم خوارج تكفيريين عملاء لجزر الواق واق فه… http,1
@user يا أمعة  يا غبي من دعم الحرب على العراق ومن يجري أتفاقيات مع النظام السوري ويريد ارضاء النظام ومن دخل… http,1
@user @user ميادهً هل تعلمي ان ألمانيا مكان القناة تعاني من التحرش,0
@user وجوه خنازير لعنهم الله,0
ماساكتاش.. هل ستقي الصافرة المغربيات شر التحرش؟,0
أكيد مابقصد أن التحرش والحيونة بتقتصر بس على الشباب لي من بيئة محافظة و متشددة,0
@user وش جاب اللي جاب.. قمر عند خنزير معدل بعمليات تجميل,1
مسابقة من إعداد قسم الاجتماعيات و العلوم الفلسفية,0
@user @user دا ماكلامي دا كلام الله... قال للرجال غضوا بصركم وماقال ليهم لو لقيتو متبرجة اتحرشو بي… http,0
أمي الله يهديها قاعده تقول ليتك ما انولدت قلت لها ليش قالت ياخي ابلشوني الحريم كل شوي يسألوا كيف جبتي عسل.,0
@user @user @user @user @user @user ههههههههه ماتوقع  فيه  اهانه  اكبر  من شرب  بول البعير,0
@user لعنة الله عليهم خونة خنازير  ابناء  زنا ومتعة,1
يارجال التحرش بقى الكتروني كوني اقول ليك منقا او اقول ليك بيبي ده يعتبر تحرش الى ان ياتي مهند شاد اوغلو فيصبح غزلا,0
@user مدري ليش نظره المجتمع للمطلقه انها بايره وغير مرغوب فيها والكل يشفق عليها ولا فكرو لحظه ان يمكن زوجها كان زق وفيه عيوب الدنيا,0
روحي شوفي أماكن الاجانب كيف… http,0
