text,label
كلامي لبنات حاطه صوره بنت متبرجه أو عارية,0
ديوث اختك او امك وتحب تديث,0
ثم ثانيا كيف طلعت متبرجه تتوقع اي شي يحصل ليها .. يموت ليها زول ولا تزر وازره وزر اخرى,1
رقصة  الخدم الافارقة المزمار صارت واجهه تراثنا الفني بالخارج ،شي يحزن,0
سواء كان جد اليهود من العراق أم من انتاركتيكا,0
عادي ياقلبي كلهم كذا خنازير http,0
سجون العصابه الطائفيه الكهنوتيه هي قبور وليست سجون  الداخل اليها مفقود والخارج منها مولود  معظم من يتم اعتقالهم و… http,1
@user @user الم تملوا من اثارة الفتن يا خنازير الجزيرة؟,0
سعودي وزغ يخطف طفلتان يمنيتان من الشارع ويمارس معهما الرذيله ووزغ اخر يبرر فعلته وسلطات بول البعير تنفي الخبر . ذنب… http,0
برنامج ذي الحريم أسرار دا يخلوا اللي يقدم البرنامج أمير كرارة ليه !؟ أختهم الكبيرة مثلا !!,0
