text,label
"[USR] Feminista = Qm defende seus direitos iguais, N preciso ser feia/cabeluda?/gorda pra querer o msm salário na msm func.",0
"Comigo na Câmara de Lisboa, a #Emel é que seria 'bloqueada'. [USR] [USR]  [USR] [URL]",0
[USR] vc nao consegue mais ver um filme sem que tenha politica no meio,0
Bem-vindo a [USR] (Casa Branca) Primeiro Ministro [USR]! [URL],0
[USR] Quer uma dica meio trash pra aumentar a galera do show? #Trashquefunciona >> Bate Papo UOL salas de minas. Da uma divulgada!,0
"Refugiados e Emigrantes, a perspectiva do Padre Vítor Melícias.Dia 9, pelas 21.00 h, na Escola Secundária de Peniche.A não perder...",0
RT [USR]: Veja: 6 páginas sobre [USR] . Repórter nos acompanhou numa ida para Campina Grande e João Pessoa semana passada. _,0
"Pra [USR] os crimes que esta página mostra há 7 meses de Feministas, SJW, etc: foda-se A EH fazer MEME contra feminista é ódio, violência..",1
"RT [USR]: Mulheres são minorias entre estivadores, apesar de políticas de inclusão [URL] _",1
"[USR] [USR] opa, que fufas tratem se",0
não lava aquela cueca q acabou de comprar antes de usar,0
"RT [USR]: A ESTUPIDEZ, FALTA DE CARÁTER  E CINISMO DOS ESQUERDISTAS NÃO TEM LIMITES.... [URL]",0
"RT [USR]: [USR] meu deus, sou do nordeste e nem me esquento pq eu sei que é humor",0
Oxente! Pq? Sou tão santa... rs...RT [USR]  [USR] oooooooooo maluca,0
RT [USR]: só pode comemorar quem viu o pai voltar com o cigarro,0
"E tbm pelos refugiados, por qm não tem casa, pelos q passam fome, por qm foi abandonados pelos pais ou familiares e enfim por todos q sofrem",0
[USR] está assim tanto vento?!,0
"A esquerda inventa o problema, incute na cabeça das pessoas que o problema existe, repete a mentira até que acredit _ [URL]",0
[USR] se vcs jogarem o user dela e a palavra 'negro' vão ver que só fala bosta,1
"'Trabalho de 3ª a 5ª.'  'Não devo satisfação a ninguém.' Parabéns pela postura, sr Dep Federal. És a cara do pai! [URL]",0
"O ruim de ter chileno branco é que depois de uns dias, ele fica preto",1
"homem que é homem arrota com suco de laranja, no ouvido da namorada.",1
Ei amigo ! Vai tomar no cú !,1
"Minha filha de 14 anos está sofrendo bullying. Sofre desde os 8 anos. Pq tem cabelo de preto, pq é gorda, pq é feia... Pessoas, parem.",0
RT [USR]: sapatão ô raça,1
Benfica pediu reunião urgente com Conselho de Arbitragem. Anjinhos... Isso não resulta. Para resultar tem de ser surpresa...,0
Confira a contribuição de uma de nossas integrantes para o blog da marca Insecta Shoes! 'Será que realmente somos... [URL],0
"RT [USR]: Negro, gay, pobre e apoiando o Bolsonaro. Vocês precisam mudar o discurso pq essa de 'homofóbico, racista' não cola mais. # _",1
RT [USR]: Orgulho Homo pode tweetar mas Orgulho Hetero é preconceito ? What's the problem with u guys ? '-',1
"[USR] os movimentos estão cada dia mais retardados mentais, não aguento mais editora",1
Parece que o Papa vai estar menos tempo em Portugal do que o Porto esteve em primeiro lugar...,1
